zip_code,year,month,subsidy_total_cost,subsidy_total_kw,subsidy_total_paid,subsidy_count
94608,2015.00,Aug,14374.33,2.99,14374.33,1
94801,2015.00,Aug,14467.32,2.35,7038.00,1
94804,2015.00,Aug,16599.04,2.80,8391.00,1
94806,2015.00,Aug,12874.96,2.40,7203.00,1
95012,2015.00,Aug,8455.64,1.28,8307.00,1
95037,2015.00,Aug,20970.60,3.63,20872.50,1
95076,2015.00,Aug,25088.75,3.96,17353.75,1
95341,2015.00,Aug,21576.30,3.77,14103.80,1
95348,2015.00,Aug,15737.62,3.42,15737.62,1
95492,2015.00,Aug,12017.26,2.25,12017.26,1
95519,2015.00,Aug,12667.15,2.52,12667.15,1
95551,2015.00,Aug,15102.07,3.41,10227.00,1
95691,2015.00,Aug,23497.36,3.66,23497.36,2
95928,2015.00,Aug,11325.01,2.04,11325.01,1
95963,2015.00,Aug,41796.39,8.83,41796.39,3
95965,2015.00,Aug,53022.12,11.13,53022.12,3
95969,2015.00,Aug,11805.78,2.18,11805.78,1
95988,2015.00,Aug,17043.52,3.71,17043.52,1
95993,2015.00,Aug,13406.50,2.74,13406.50,1
96013,2015.00,Aug,91052.84,16.69,91052.84,7
96021,2015.00,Aug,17343.81,3.71,17343.81,1
96080,2015.00,Aug,84351.18,17.32,72292.85,5
90059,2015.00,Sep,17148.63,2.78,11574.88,1
90262,2015.00,Sep,8067.62,1.11,5291.50,1
90805,2015.00,Sep,14233.59,2.23,9771.09,1
91911,2015.00,Sep,13949.07,2.90,8688.00,1
91945,2015.00,Sep,20340.96,3.46,10371.00,1
92082,2015.00,Sep,30299.60,5.92,17772.00,2
92102,2015.00,Sep,55925.62,11.08,30739.03,4
92105,2015.00,Sep,64424.77,10.07,33663.00,5
92113,2015.00,Sep,64652.52,11.30,31706.10,4
92114,2015.00,Sep,75255.87,14.18,42525.00,5
92128,2015.00,Sep,17967.32,2.96,8880.00,1
92154,2015.00,Sep,32994.19,5.84,17532.00,2
92240,2015.00,Sep,20074.81,4.90,20074.81,1
92411,2015.00,Sep,11151.42,1.84,7450.17,1
92543,2015.00,Sep,22525.28,4.58,13337.78,1
92704,2015.00,Sep,28129.82,4.90,28129.82,1
92882,2015.00,Sep,20205.15,4.93,20205.15,1
93227,2015.00,Sep,65680.86,12.43,41058.36,4
93230,2015.00,Sep,29749.65,4.98,19984.65,1
93247,2015.00,Sep,60530.74,11.54,37430.74,3
93257,2015.00,Sep,47591.80,8.48,36216.80,3
93267,2015.00,Sep,29277.15,4.77,19905.90,1
93514,2015.00,Sep,39418.16,7.59,39418.16,2
93535,2015.00,Sep,16243.50,3.16,16243.50,1
93638,2015.00,Sep,14212.76,3.06,8087.76,1
93647,2015.00,Sep,14223.05,3.06,8098.05,1
93905,2015.00,Sep,16186.93,3.66,16186.93,1
94565,2015.00,Sep,14080.25,3.20,9588.00,1
94601,2015.00,Sep,16542.01,2.98,8949.00,1
94607,2015.00,Sep,10041.72,1.71,5115.00,1
94801,2015.00,Sep,14947.81,3.05,8945.31,1
95012,2015.00,Sep,11282.92,2.13,6393.00,1
95122,2015.00,Sep,9962.55,2.18,9962.55,1
95551,2015.00,Sep,10733.48,1.97,5895.00,1
90047,2015.00,Oct,12693.45,2.62,7443.45,1
90262,2015.00,Oct,48366.39,7.64,33053.89,3
90805,2015.00,Oct,28680.36,4.37,19930.36,2
90806,2015.00,Oct,9184.16,1.31,8356.06,1
90810,2015.00,Oct,20790.00,3.83,20790.00,1
90813,2015.00,Oct,41974.46,7.50,26950.71,2
91723,2015.00,Oct,15855.00,2.74,15855.00,1
91752,2015.00,Oct,6770.41,2.29,2220.41,1
91932,2015.00,Oct,19456.21,3.69,11076.00,1
92082,2015.00,Oct,109598.48,21.96,65892.00,7
92102,2015.00,Oct,11108.03,1.97,5895.00,1
92105,2015.00,Oct,30053.64,5.07,15222.00,2
92113,2015.00,Oct,16921.13,2.67,8019.00,1
92114,2015.00,Oct,22117.83,4.37,13098.00,1
92119,2015.00,Oct,10094.61,1.09,3273.00,1
92154,2015.00,Oct,20853.94,3.69,11061.00,1
92225,2015.00,Oct,67029.62,12.84,41217.12,4
92240,2015.00,Oct,74956.69,16.50,74956.69,4
92308,2015.00,Oct,15997.46,3.73,15997.46,1
92345,2015.00,Oct,15871.89,2.97,15871.89,1
92354,2015.00,Oct,12336.67,2.56,12336.67,1
92376,2015.00,Oct,45532.52,9.46,26632.52,3
92395,2015.00,Oct,16790.49,3.63,16790.49,1
92404,2015.00,Oct,20980.05,2.98,17615.27,2
92570,2015.00,Oct,16481.70,3.96,8597.95,1
92592,2015.00,Oct,16482.04,2.97,16482.04,1
92707,2015.00,Oct,15265.05,2.65,9910.05,1
93218,2015.00,Oct,21557.55,3.38,14732.55,1
93227,2015.00,Oct,73484.56,15.43,42476.81,5
93230,2015.00,Oct,52153.12,9.00,34250.62,2
93247,2015.00,Oct,157780.32,28.26,101334.07,8
