ZIP,total_subsidy,total_kW,project_count,low_income_subsidy,low_income_kW,low_projects,equity_share
91932,746395.3,815.714,93,347678.3,140.155,18.0,0.46580987313290956
91934,7180.0,18.0,2,0.0,0.0,0.0,0.0
91935,994166.5,1956.076,238,102606.5,24.98,5.0,0.10320856717662484
91941,2883229.95,3761.7200000000003,407,5849.87,5.25,1.0,0.0020289293956591977
91942,1549835.0,1955.344,136,0.0,0.0,0.0,0.0
91944,6162.0,6.58,1,0.0,0.0,0.0,0.0
91945,532634.85,655.557,118,425009.45,99.895,28.0,0.7979377429021027
91948,1672.0,1.44,1,0.0,0.0,0.0,0.0
91950,1741999.7,3419.298,68,656788.7,163.97,46.0,0.3770314656196554
91962,14484.0,47.086,9,19638.0,8.912,2.0,1.355840927920464
91963,140541.0,118.044,12,71426.0,13.86,3.0,0.5082218000441152
91977,1133485.26,2736.769,258,190377.82,158.685,15.0,0.16795791415937777
91978,215699.71,444.281,59,0.0,0.0,0.0,0.0
91980,49798.0,24.84,1,0.0,0.0,0.0,0.0
92003,562036.0,1331.219,93,0.0,0.0,0.0,0.0
92004,1089282.0899999999,3970.545,72,12273.0,4.48,1.0,0.011267053881332064
92007,274196.57,384.299,73,0.0,0.0,0.0,0.0
92008,3147269.0,3600.83,197,0.0,0.0,0.0,0.0
92009,4070007.34,4269.599999999999,456,752463.8,642.005,3.0,0.18488020712021616
92010,645492.0,772.572,88,0.0,330.0,1.0,0.0
92011,742594.3,1123.454,184,0.0,0.0,0.0,0.0
92014,729253.44,1054.236,173,0.0,0.0,0.0,0.0
92019,3968067.21,5504.727,467,13915.46,2.4,1.0,0.0035068609636780823
92020,3692167.63,4466.678,333,524786.25,206.244,20.0,0.14213500105898497
92021,2536724.66,4560.789,432,26871.0,10.14,3.0,0.010592793306940927
92023,52009.0,65.00800000000001,9,0.0,0.0,0.0,0.0
92024,2686367.65,4347.0960000000005,501,72078.0,138.2,4.0,0.026831025902206648
92025,5715869.71,8285.11,429,886807.88,527.935,33.0,0.1551483719876463
92026,2118342.24,4944.207,393,202099.85,87.31,10.0,0.09540472081602829
92027,4705390.84,7336.0199999999995,374,1081431.84,853.57,16.0,0.2298282707584818
92028,10006182.81,12390.58,700,1241554.95,657.2,8.0,0.12407877944816399
92029,2721096.7800000003,3534.334,371,0.0,0.0,0.0,0.0
92036,259754.88,232.533,41,98449.0,17.490000000000002,3.0,0.3790073164361724
92037,6800583.4399999995,5655.522,348,0.0,0.0,0.0,0.0
92040,1398496.63,3380.998,441,513482.0,713.99,8.0,0.3671671343248071
92049,16930.0,24.596,5,0.0,0.0,0.0,0.0
92054,1587629.7,2159.022,112,100393.0,37.52,2.0,0.06323451872939893
92055,2648123.0,1922.0800000000002,14,0.0,0.0,0.0,0.0
92056,3281187.0,9392.035,210,10737.0,588.92,2.0,0.00327229139942344
92057,1581556.46,2835.179,281,455045.45,165.82,20.0,0.2877200160151096
92058,4103465.0,2953.1510000000003,46,3498.0,1.325,1.0,0.0008524503072403444
92059,100782.0,175.056,24,0.0,0.0,0.0,0.0
92061,2192597.39,2964.386,51,721975.39,182.47,43.0,0.3292785959213424
92064,11011223.28,12880.204,963,1804561.03,1101.325,15.0,0.16388379239186585
92065,4265706.71,7419.1269999999995,767,170285.56,38.945,7.0,0.039919659642985626
92066,112287.72,38.58,11,96641.72,17.740000000000002,4.0,0.8606615220257389
92067,1511515.0,2385.111,163,0.0,0.0,0.0,0.0
92069,4765684.3,6071.169,240,30551.5,5.699999999999999,2.0,0.006410726786917044
92070,107831.0,68.42,13,316586.0,117.88,26.0,2.935946063747902
92071,13900197.7,9154.18,448,488394.9,345.09999999999997,5.0,0.03513582400342407
92075,626176.02,1092.292,143,0.0,0.0,0.0,0.0
92078,1065946.8900000001,2537.704,279,87241.0,57.42,1.0,0.08184366483774815
92081,1757064.0,3894.003,174,0.0,0.0,0.0,0.0
92082,14404139.67,9868.514000000001,539,1118363.3699999999,323.77,80.0,0.07764180267768814
92083,899444.5,1987.596,87,281032.5,170.94,6.0,0.31245118514816644
92084,2597364.86,3540.511,411,576433.0,174.85,3.0,0.22192992939775125
92085,1089.0,6.89,1,0.0,0.0,0.0,0.0
92086,51152.0,97.428,14,189510.0,73.355,18.0,3.7048404754457303
92087,827.0,1.6,1,0.0,0.0,0.0,0.0
92091,90926.0,174.632,17,0.0,0.0,0.0,0.0
92093,884945.0,893.07,2,0.0,0.0,0.0,0.0
92101,9245079.25,9178.799,137,1369365.75,1202.2,16.0,0.14811833549182393
92102,1703604.71,1483.157,78,812129.74,686.67,75.0,0.4767125467738346
92103,1060510.0,1191.1,157,6768.0,2.55,1.0,0.006381835154784019
92104,1281499.14,1131.999,154,666093.14,228.68,18.0,0.519776501761835
92105,3493486.97,1380.243,237,4045684.97,1755.059,198.0,1.158064994872444
92106,3544530.8,2721.819,152,0.0,0.0,0.0,0.0
92107,333747.0,548.159,103,0.0,0.0,0.0,0.0
92108,7536648.2,7589.920999999999,61,0.0,0.0,0.0,0.0
92109,1727362.7,1635.839,265,0.0,0.0,0.0,0.0
92110,7140949.41,5183.617,111,0.0,311.2,2.0,0.0
92111,7153077.58,6581.104,192,413119.92,118.05,17.0,0.057754150626729256
92112,292699.0,166.88,3,0.0,0.0,0.0,0.0
92113,5685851.31,3110.8849999999998,64,4507735.41,1106.3999999999999,89.0,0.7927986794294134
92114,3738902.92,3483.646,221,2612555.06,704.185,202.0,0.6987491025843485
92115,1767482.72,2002.584,219,501802.7,211.535,37.0,0.2839081221682326
92116,879347.32,1047.612,150,247496.0,93.705,6.0,0.2814542040112205
92117,1695783.53,2526.804,361,145705.41,440.645,13.0,0.08592217545596754
